FeatID,Average
1473,6.3293
678,6.3269
939,6.3222
1410,6.3189
1048,6.3153
1124,6.3115
1732,6.3115
1855,6.3112
1097,6.3101
1944,6.3085
1407,6.3081
831,6.3074
1082,6.3055
12,6.2997
337,6.2973
1774,6.2943
1492,6.2933
64,6.2915
1805,6.2901
2085,6.2893
953,6.2886
1240,6.2866
1884,6.2863
1510,6.2825
2036,6.2816
582,6.2813
1298,6.2797
823,6.2752
727,6.2725
1309,6.271
702,6.2657
488,6.2657
303,6.2607
533,6.2606
398,6.2556
778,6.2518
505,6.2486
1868,6.2467
750,6.2458
979,6.2423
193,6.2422
100,6.2411
411,6.2389
1823,6.2389
18,6.2363
2047,6.2336
181,6.2305
1447,6.2297
110,6.2268
1411,6.2268
1040,6.2261
2022,6.2228
1844,6.2224
905,6.2198
1909,6.2103
1374,6.2045
997,6.1966
795,6.1903
407,6.1885
485,6.182
583,6.182
748,6.1751
710,6.1723
1986,6.172
1042,6.1688
35,6.1663
990,6.1636
70,6.159
663,6.157
2023,6.154
1942,6.1528
106,6.1522
964,6.1514
47,6.1481
786,6.1434
546,6.1422
1236,6.1346
376,6.132
1672,6.1317
760,6.1307
1257,6.1295
510,6.1264
2163,6.1263
1949,6.1245
999,6.1216
2150,6.1204
271,6.1202
324,6.1187
1229,6.1187
475,6.1186
1615,6.1182
1957,6.1159
901,6.1157
1681,6.1156
277,6.1155
304,6.1152
724,6.1113
1266,6.1046
1860,6.1035
728,6.1014
843,6.0995
22,6.0975
1660,6.0965
852,6.0958
13,6.0945
1238,6.088
627,6.0877
253,6.0848
1925,6.0828
1695,6.0807
1907,6.0722
1496,6.0715
1767,6.0689
1136,6.0681
95,6.0645
740,6.0592
769,6.0589
1217,6.0583
732,6.0563
2086,6.0547
1696,6.0526
1664,6.0517
1846,6.0496
1256,6.0491
1693,6.0411
1006,6.0376
1535,6.031
147,6.0306
480,6.0287
1169,6.0287
166,6.0284
493,6.0282
384,6.0144
958,6.0058
756,6.0043
1207,5.9973
1939,5.9927
275,5.9816
200,5.9739
1148,5.9719
646,5.9679
1638,5.9666
2016,5.9549
1574,5.9516
413,5.9501
820,5.9489
594,5.9459
1352,5.9299
416,5.9292
382,5.9174
1389,5.9092
1673,5.9003
1211,5.8995
1827,5.8981
984,5.8904
1571,5.8904
1611,5.8834
1187,5.8787
169,5.8767
251,5.8765
2012,5.8749
1616,5.8664
1165,5.8638
969,5.8616
1445,5.8543
1599,5.8509
1566,5.8497
680,5.8363
248,5.8344
1312,5.8334
1525,5.8287
1478,5.827
1941,5.8253
351,5.825
321,5.8243
1306,5.8183
1559,5.8085
259,5.8057
1100,5.8019
1172,5.8018
2145,5.8015
1349,5.8011
2133,5.7824
1456,5.7774
2040,5.7752
